aren't sitting back%~%0.0
out the best%~%-0.6931471805599453
because i've hit%~%-0.6931471805599453
help me out%~%0.0
sorry to inform%~%0.0
the gym with%~%0.0
i find my%~%0.0
{ go to%~%-1.0986122886681098
effect work and%~%0.0
caught up so%~%0.0
{ { that%~%-4.15366113937852
segment , like%~%0.0
{ { spotify%~%-6.86171134048073
got my jersey%~%0.0
dad had them%~%0.0
an authentic crew%~%0.0
panther for a%~%0.0
were being screwed%~%0.0
my other ping%~%0.0
on ali .%~%-1.0986122886681098
him , he%~%-0.6931471805599453
you realize vince%~%-0.6931471805599453
rh positive or%~%0.0
! ? her%~%-2.1972245773362196
to do that%~%-1.3862943611198906
{ { black%~%-6.86171134048073
a year off%~%-0.6931471805599453
come close }%~%0.0
to mccoy .%~%0.0
so we have%~%-1.0986122886681098
have to play%~%-2.833213344056216
is testicle }%~%0.0
timmy to colorado%~%0.0
general . like%~%0.0
{ none ,%~%0.0
start . it's%~%0.0
try to like%~%-1.0986122886681098
players and they%~%-0.6931471805599453
bottom of the%~%0.0
jersey today }%~%0.0
about my girl%~%-1.0986122886681098
anyone else see%~%-1.3862943611198906
with a masters%~%-1.3862943611198906
am so i'll%~%-0.6931471805599453
philly if the%~%0.0
with her ex%~%-1.0986122886681098
with it }%~%-0.6931471805599453
is anxiously awaiting%~%0.0
{ nooo this%~%0.0
school the promised%~%0.0
i feel a%~%-2.0794415416798357
a option }%~%-0.6931471805599453
the ex .%~%0.0
and things of%~%0.0
you a warning%~%-0.6931471805599453
{ we don't%~%-2.833213344056216
world football in%~%0.0
july 31st; crew%~%0.0
a bridge in%~%0.0
yes , i%~%-0.6931471805599453
{ catch n%~%0.0
a certain drug%~%-0.6931471805599453
realize the la%~%0.0
i'll come to%~%0.0
what our year%~%0.0
miracle strech }%~%0.0
you trust her%~%0.0
don't care at%~%-1.0986122886681098
{ { https://media1%~%-6.168564159920785
logan , why%~%-2.1972245773362196
{ { everyone%~%-5.47541697936084
, people actually%~%-0.6931471805599453
nick is taking%~%0.0
played the whole%~%0.0
up for my%~%-1.6094379124341003
of 0 beverages%~%0.0
due to a%~%-0.6931471805599453
when and who%~%-0.6931471805599453
have been making%~%-1.6094379124341003
so is anyone%~%-1.0986122886681098
{ guy ,%~%0.0
saw stuff on%~%0.0
{ { hey%~%-5.069951871252675
the copa stadium%~%0.0
mls and i%~%0.0
best in people%~%0.0
day they won't%~%0.0
desire for sex%~%0.0
saying don't let%~%0.0
that pirlo part%~%0.0
petr ! !%~%0.0
something that just%~%0.0
it's possible i%~%0.0
more than happy%~%-1.3862943611198906
gonna score 😂😂%~%0.0
them in the%~%0.0
gba pokémon }%~%0.0
you said that%~%-0.6931471805599453
oh yeah the%~%0.0
you took the%~%0.0
new dictionary definition%~%0.0
and physiology exam%~%0.0
now ! when%~%0.0
crew jesery this%~%0.0
. jpg ?%~%-3.044522437723423
we won't be%~%0.0
to host a%~%0.0
upper endoscopy done%~%0.0
cup😑 } }%~%0.0
things of that%~%0.0
shuffle decks }%~%0.0
me , i%~%-1.0986122886681098
for a game%~%-2.3978952727983707
a nurse we%~%0.0
testicle } }%~%0.0
also just to%~%0.0
likely but maybe%~%0.0
. 60 points%~%0.0
is half way%~%0.0
and out mom%~%0.0
it is supposed%~%-1.3862943611198906
if it's busy%~%-1.3862943611198906
to a pt%~%-2.0794415416798357
trophy in front%~%0.0
you } }%~%0.0
disappointing how i%~%0.0
it cut ,%~%0.0
la paied the%~%0.0
depending on the%~%-1.0986122886681098
{ it took%~%-2.1972245773362196
the crew is%~%-2.4849066497880004
or not !%~%-0.6931471805599453
a year after%~%-0.6931471805599453
sand } }%~%0.0
it's not just%~%-2.0794415416798357
not smart to%~%0.0
{ mccoy are%~%-1.6094379124341003
{ the top%~%-3.0910424533583156
support } }%~%0.0
book it }%~%0.0
i actually only%~%-0.6931471805599453
the rest of%~%0.0
miles } }%~%0.0
many other colleagues%~%0.0
see why change%~%-0.6931471805599453
lord , and%~%0.0
to educate them%~%0.0
i don't mind%~%-1.845826690498331
say he has%~%0.0
t } }%~%0.0
mean hey ,%~%0.0
{ i'll bring%~%-2.5649493574615367
breaking news on%~%0.0
said trumoo too%~%0.0
does it sound%~%-1.0986122886681098
{ { can%~%-6.168564159920785
to suggestions }%~%0.0
heartburn and asking%~%0.0
. when i%~%0.0
our fantasy group%~%-0.6931471805599453
what about the%~%-0.916290731874155
{ today at%~%-0.6931471805599453
{ { p1s-pharmacy%~%-6.86171134048073
buy two and%~%-0.6931471805599453
have a threesome%~%-2.3978952727983707
weeks . ali%~%0.0
chicago press conference%~%0.0
correct this year%~%0.0
doesn't get more%~%0.0
he's on your%~%0.0
type say if%~%0.0
points in mls%~%0.0
you're gonna score%~%0.0
one , but%~%-1.0986122886681098
her thanks for%~%0.0
, is everyone%~%-1.6094379124341003
, i didn't%~%-3.891820298110627
, you're just%~%-0.6931471805599453
nation } }%~%0.0
i doubt they%~%-0.6931471805599453
going on }%~%-0.916290731874155
or will we%~%0.0
like how we%~%-0.6931471805599453
😂😂😂 } }%~%0.0
state panera is%~%0.0
year colorado would%~%0.0
for anatomy if%~%0.0
having the same%~%0.0
let me know%~%-0.2876820724517809
america champions }%~%0.0
it goes .%~%-0.6931471805599453
{ this sucks%~%-2.1972245773362196
, it could%~%-1.3862943611198906
. . that%~%-4.74493212836325
guys want my%~%-0.6931471805599453
tricep , bicep%~%0.0
compelvisuals . com/wp-content/uploads/2013/02/sampleconcussion%~%0.0
good , but%~%-1.3862943611198906
next year for%~%-1.3862943611198906
yea boy and%~%0.0
. so little%~%-1.9459101490553135
or greenland to%~%0.0
and forever hate%~%0.0
are away }%~%0.0
it and how%~%-1.6094379124341003
, but today%~%-2.3978952727983707
gap suit ?%~%0.0
of myself }%~%0.0
the missions to%~%0.0
on ali ?%~%-1.0986122886681098
logan , i%~%-2.1972245773362196
same think but%~%0.0
time } }%~%0.0
tempting but still%~%0.0
i really should%~%-1.0986122886681098
the league is%~%-0.916290731874155
just gonna say%~%-1.0986122886681098
{ { gas%~%-6.86171134048073
know but it's%~%0.0
say hello to%~%0.0
{ i'll get%~%-1.8718021769015913
beauty } }%~%0.0
how do i%~%-1.0986122886681098
what he received%~%-0.6931471805599453
it's what is%~%0.0
flag from the%~%0.0
of choice }%~%0.0
. media .%~%0.0
bottom ! }%~%0.0
who's watching the%~%0.0
mean "you" as%~%0.0
uneventful } }%~%0.0
48 teams with%~%0.0
. they will%~%-0.6931471805599453
why would we%~%-1.0986122886681098
achieve ? i%~%0.0
else know that%~%0.0
here because the%~%0.0
. com/wp-content/uploads/2013/05/jose-mourinho- .%~%0.0
good } }%~%0.0
club , i%~%0.0
put it on%~%0.0
, didn't know%~%0.0
and urruti too%~%0.0
when we head%~%0.0
is it like%~%-1.3862943611198906
a new crest%~%-1.0986122886681098
are you close%~%-2.1400661634962708
, see what%~%0.0
superior jokes and%~%0.0
teacher is a%~%-0.6931471805599453
, man city%~%0.0
hours i have%~%0.0
finlay's touches and%~%0.0
save for room%~%0.0
logan , but%~%-2.1972245773362196
freshman year to%~%0.0
exam down ,%~%0.0
i guess i%~%-1.0986122886681098
talked about really%~%0.0
get there earlier%~%-1.3862943611198906
about the students%~%-2.3025850929940455
it anymore }%~%0.0
on campus }%~%0.0
at this rate%~%-0.6931471805599453
saw mccoy two%~%0.0
is gonna proceed%~%-1.6094379124341003
will make enough%~%0.0
the anticubital area%~%0.0
{ { yeahhhhh%~%-6.86171134048073
so you have%~%-1.3862943611198906
rather find someone%~%0.0
{ but this%~%-2.1972245773362196
was wondering ,%~%0.0
i have never%~%-3.0910424533583156
was before those%~%0.0
guys are doin%~%-0.6931471805599453
has all she%~%0.0
trip to cali%~%-1.0986122886681098
craig and i*%~%0.0
with attendance too%~%0.0
{ you on%~%-2.772588722239781
is the birthday%~%-2.772588722239781
are you moving%~%-2.833213344056216
think of how%~%0.0
not worried if%~%0.0
i have two%~%-3.0910424533583156
{ { germany's%~%-6.86171134048073
{ http://p1cdn01 .%~%0.0
sale on wednesday%~%0.0
catch the ball%~%-0.6931471805599453
{ http://gabbyhilaire .%~%0.0
or she "sent%~%0.0
someone asked bastian%~%0.0
not like karen%~%-0.6931471805599453
to know all%~%-1.3862943611198906
mccoy aren't even%~%0.0
made it worth%~%0.0
like this game%~%-0.6931471805599453
top 10 maybe%~%0.0
for real !%~%0.0
do but i%~%0.0
hey , it%~%-1.3862943611198906
niccc } }%~%0.0
he sounds but%~%0.0
. this again%~%-1.791759469228055
slowly on my%~%0.0
coworker comes to%~%0.0
batman doesn't use%~%0.0
also has a%~%0.0
as myself }%~%0.0
saving up for%~%0.0
ticket member of%~%0.0
track of it%~%0.0
anything lower than%~%0.0
being able to%~%0.0
are probably busy%~%0.0
i ran inside%~%0.0
couple hundred students%~%0.0
on the bleacher%~%-3.0910424533583156
not happy }%~%0.0
at the last%~%-2.70805020110221
are looking up%~%0.0
if we go%~%-0.6931471805599453
the aggregate win%~%0.0
{ this everton%~%-2.1972245773362196
not depending on%~%0.0
, ball went%~%0.0
{ @logan patiño%~%0.0
talk about computer%~%0.0
came here because%~%0.0
sucks , let's%~%0.0
in my eyes%~%-0.6931471805599453
{ { sure%~%-6.86171134048073
the wrong person"%~%0.0
portland } }%~%0.0
just mad that%~%0.0
a cool tifo%~%-0.6931471805599453
yeahhh , i%~%0.0
is harassment at%~%0.0
scored a second%~%0.0
first of the%~%0.0
home on it%~%0.0
what day }%~%0.0
my thighs ,%~%0.0
still in unknown%~%0.0
it's the 60%~%-0.6931471805599453
if the players%~%-1.0986122886681098
(this month) fuck%~%0.0
card } }%~%0.0
game this weekend%~%-0.6931471805599453
come on }%~%-0.6931471805599453
for you guys%~%-0.6931471805599453
yeah i don't%~%-0.6931471805599453
at the crew%~%-2.70805020110221
puts up a%~%0.0
like last years%~%0.0
and wekbeck are%~%0.0
to alaska or%~%0.0
are listening to%~%0.0
crew needs a%~%0.0
cracker not wonder%~%0.0
pulse also just%~%0.0
all she needs%~%0.0
yeahhhhh i like%~%0.0
head" } }%~%0.0
those middle two%~%0.0
wanna play some%~%0.0
play like this%~%-0.6931471805599453
has to grow%~%-1.0986122886681098
can't imagine him%~%0.0
just slid into%~%0.0
need to watch%~%-2.3978952727983707
chelsea has the%~%0.0
michigan } }%~%0.0
came to mls%~%0.0
if you guys%~%-2.03688192726104
be cutting my%~%0.0
aren't } }%~%0.0
all of those%~%-0.6931471805599453
she ugly ,%~%0.0
a savage }%~%0.0
are topping the%~%0.0
now informed that%~%0.0
should of listened%~%0.0
{ a lot%~%-0.6931471805599453
in 5 seconds%~%0.0
{ jesery on%~%-0.6931471805599453
. which stunk%~%0.0
have a anatomy%~%-2.3978952727983707
thinking of it%~%-0.6931471805599453
to good }%~%-0.6931471805599453
osu ? }%~%0.0
i wanna play%~%0.0
in teams of%~%0.0
the situation with%~%0.0
the whole game%~%-1.3862943611198906
{ the crew%~%-3.0910424533583156
crap diet .%~%0.0
the hangover fries%~%0.0
not appreciated }%~%0.0
{ they just%~%-2.3978952727983707
i couldn't tell%~%-0.6931471805599453
that gives foods%~%0.0
had trisomy-21; would%~%0.0
a a i%~%-0.6931471805599453
class so i'm%~%0.0
, be there%~%-0.6931471805599453
away } }%~%0.0
the land of%~%0.0
a mask }%~%0.0
this } }%~%0.0
{ don't say%~%-1.0986122886681098
germany's goal }%~%0.0
cećh is still%~%0.0
, i never%~%-3.891820298110627
it if it's%~%-1.0986122886681098
change the design%~%0.0
is your profile%~%-0.6931471805599453
why brian }%~%0.0
you plan on%~%0.0
and who was%~%-0.6931471805599453
e . 3%~%0.0
we are on%~%-2.5649493574615367
has such great%~%0.0
you have come%~%-1.6094379124341003
. this is%~%-1.791759469228055
two things even%~%0.0
it to be%~%-0.6931471805599453
yugioh } }%~%0.0
{ #prayforparis 😑%~%0.0
different bacteria and%~%0.0
news on sc%~%-0.6931471805599453
be something that%~%0.0
blood type say%~%0.0
{ { breaking%~%-6.86171134048073
seeing them anyway%~%0.0
{ { if%~%-4.296761983019193
consistent finishers in%~%0.0
a machine right%~%0.0
the students that%~%0.0
{ { we%~%-4.028497996424514
they lose there%~%0.0
what were you%~%0.0
legend } }%~%0.0
mean i know%~%-2.0794415416798357
but still .%~%-0.6931471805599453
, i'm lopping%~%-1.3862943611198906
nursing class is%~%0.0
hope this one%~%0.0
your captain and%~%-0.6931471805599453
and pato has%~%0.0
synthesize those now%~%0.0
mel and i%~%0.0
shitty because the%~%0.0
i haven't heard%~%-1.0986122886681098
cities } }%~%0.0
position , out%~%0.0
{ i love%~%-4.859812404361672
i'm to good%~%0.0
instructor after being%~%0.0
{ because we%~%-1.9459101490553135
? (trying to%~%0.0
played for the%~%0.0
the mls did%~%-1.6094379124341003
wabooba or a%~%0.0
at stores }%~%0.0
not there dang%~%0.0
we have the%~%-2.1972245773362196
i get into%~%-1.791759469228055
say we try%~%-0.6931471805599453
i ask for%~%0.0
in 2016 and%~%0.0
{ http://fanart .%~%0.0
{ i haven't%~%-4.1666652238017265
{ damn it%~%0.0
karen better .%~%0.0
the moment you%~%0.0
of show }%~%0.0
columbus' ping pong%~%0.0
{ good news%~%0.0
cart for it%~%0.0
have castillo and%~%0.0
hoffman u ready%~%0.0
women aren't even%~%0.0
@poonslayer golf tomorrow%~%0.0
this week .%~%-0.6931471805599453
noones name is%~%0.0
my jesery came%~%-0.6931471805599453
. } }%~%0.0
, i'm already%~%-1.3862943611198906
and they get%~%-2.0794415416798357
be out }%~%0.0
see who can%~%0.0
those to might%~%0.0
{ she actually%~%-1.6094379124341003
to tears }%~%0.0
, last time%~%0.0
playing } }%~%0.0
a bye in%~%0.0
{ { hings%~%-6.86171134048073
in june .%~%0.0
to soon }%~%0.0
friday-sunday is probably%~%0.0
{ the face%~%-3.0910424533583156
forgot to thanks%~%-0.6931471805599453
in the request%~%-3.4657359027997265
, etc and%~%0.0
like eachother }%~%-0.6931471805599453
because that's the%~%-0.6931471805599453
to use plt%~%-1.0986122886681098
can't make transfers%~%0.0
may buy it%~%0.0
up so i%~%0.0
right now }%~%-0.916290731874155
is on you%~%-1.0986122886681098
did you guys%~%-1.9459101490553135
yugi card }%~%0.0
you can't deny%~%-1.3862943611198906
out befor the%~%0.0
{ one mls%~%-1.0986122886681098
ccamcasto@gmail . com%~%0.0
nights messages }%~%0.0
idea , consider%~%0.0
mac } }%~%0.0
{ 48 teams%~%0.0
is so cool%~%-0.6931471805599453
i like him%~%-1.9459101490553135
i may be%~%-0.6931471805599453
{ who's watching%~%-0.6931471805599453
i will arrive%~%-1.791759469228055
is the true%~%-2.772588722239781
. it's my%~%-2.0794415416798357
{ second week%~%0.0
but cut the%~%0.0
grub } }%~%0.0
for 6 months%~%0.0
you waiting for%~%0.0
bad , i%~%0.0
. . get%~%-4.74493212836325
sporting events compared%~%0.0
is here neil;%~%0.0
the name is%~%0.0
{ yeahhh ,%~%0.0
. well you%~%-0.6931471805599453
of him unless%~%-1.0986122886681098
with my kit%~%-0.6931471805599453
slides } }%~%0.0
now . no%~%0.0
hate jj just%~%0.0
joke is on%~%0.0
crowd is going%~%0.0
. com/3dc4c0003716c988e5e97333131ba504/tumblr_mszapczh3p1qz8x31o1_500 .%~%0.0
is it going%~%-1.3862943611198906
break up with%~%0.0
down . .%~%0.0
know , my%~%-1.3862943611198906
moment where your%~%-0.6931471805599453
{ when the%~%-2.890371757896165
is supposed to%~%0.0
why you lying%~%0.0
lot better than%~%0.0
they were grunting%~%-1.791759469228055
complaining of heartburn%~%0.0
stadium is so%~%0.0
is everyone still%~%-0.6931471805599453
a penalty for%~%0.0
you live .%~%0.0
bentder jersey }%~%0.0
{ { come%~%-6.86171134048073
it would be%~%-0.40546510810816444
leave out of%~%0.0
certain category (sulf%~%0.0
game } }%~%0.0
well . .%~%0.0
i want to%~%-0.4700036292457356
house ? }%~%0.0
even scoring a%~%0.0
1 so i'll%~%0.0
be a pharmacist%~%-1.252762968495368
suit ? }%~%0.0
one , or%~%-1.0986122886681098
. it's more%~%-2.0794415416798357
36 slides }%~%0.0
at all .%~%-1.3862943611198906
joke } }%~%0.0
stay and a%~%0.0
isn't bringing in%~%0.0
put in with%~%0.0
a true legend%~%-1.0986122886681098
triceps } }%~%0.0
to keep is%~%-0.6931471805599453
in ohio }%~%0.0
{ { how%~%-5.47541697936084
of what our%~%-0.6931471805599453
game grub }%~%0.0
{ because i've%~%-1.9459101490553135
{ and also%~%-3.1780538303479458
giving you a%~%0.0
but wasn't bad%~%0.0
costa(in prime) }%~%0.0
scrimmages or something%~%0.0
new crest too%~%0.0
all over columbus%~%0.0
you watch a%~%0.0
{ gotta say%~%0.0
center says it's%~%0.0
it looks before%~%-1.3862943611198906
them are 40+%~%-0.6931471805599453
this rate sorry%~%0.0
{ { has%~%-6.168564159920785
, tottenham has%~%0.0
for the beach%~%-2.4849066497880004
you moving it%~%0.0
any more days%~%0.0
the church crowd%~%0.0
sadly bring out%~%0.0
is because there%~%-0.6931471805599453
{ is the%~%-1.9459101490553135
paycheck . .%~%0.0
{ { you'd%~%-6.86171134048073
(this is from%~%0.0
{ does trump%~%-1.6094379124341003
like karen ,%~%0.0
signed with newcastle%~%0.0
{ { big%~%-5.76309905181262
like him with%~%-1.0986122886681098
was thinking tonight%~%-1.3862943611198906
boggling } }%~%0.0
champions } }%~%0.0
it's not broke%~%-2.0794415416798357
press conference if%~%0.0
girls cute }%~%0.0
do that the%~%-1.0986122886681098
they change the%~%0.0
the barclays boxing%~%-0.6931471805599453
{ or "the%~%-2.1972245773362196
! " !%~%0.0
of mine money%~%0.0
need a real%~%-0.40546510810816444
playing like they%~%0.0
my current nursing%~%0.0
{ you are%~%-2.772588722239781
are doin it%~%0.0
think he's at%~%0.0
{ 5 gyms%~%0.0
choices . early%~%0.0
person with the%~%0.0
by a pyramid%~%0.0
{ will they%~%-0.6931471805599453
the first 20%~%-1.6094379124341003
ranked 43 on%~%0.0
so friday-sunday is%~%0.0
though it's possible%~%0.0
was just saying%~%-1.9459101490553135
{ last two%~%0.0
master not a%~%0.0
going to sloops%~%-2.639057329615259
be at least%~%-1.0986122886681098
a couple hundred%~%0.0
at } }%~%0.0
i'm just trowing%~%-1.3862943611198906
you take me%~%-0.6931471805599453
fire him ,%~%0.0
{ { work%~%-6.168564159920785
one where you%~%0.0
but they go%~%-0.6931471805599453
even playing ?%~%0.0
about the beach%~%-2.3025850929940455
nords } }%~%0.0
was kicking it%~%-0.6931471805599453
fair when he%~%0.0
i know how%~%-1.9459101490553135
{ this game%~%-2.1972245773362196
app that gives%~%-0.6931471805599453
like my girls%~%0.0
(more than likely%~%0.0
in kentucky }%~%0.0
just clashes }%~%0.0
, the copy%~%-1.791759469228055
in today }%~%0.0
mccoy , you%~%-1.3862943611198906
so you run%~%-1.3862943611198906
me know when%~%-1.0986122886681098
i arrived freshman%~%0.0
senior if you%~%0.0
head sucked ,%~%0.0
get you some%~%-1.3862943611198906
yep , i%~%0.0
i would but%~%-1.6094379124341003
{ and it%~%-3.1780538303479458
least 10th .%~%0.0
for i don't%~%-0.6931471805599453
and how much%~%-1.3862943611198906
first off they%~%0.0
shouldn't be with%~%-0.6931471805599453
captain and he%~%0.0
more sad ,%~%0.0
. ultradownloads .%~%0.0
complete trash }%~%0.0
making some dangerous%~%0.0
lower than a%~%0.0
silverware } }%~%0.0
7 am }%~%0.0
the gaf head%~%0.0
ago , first%~%0.0
about an accident%~%0.0
how close the%~%0.0
theirs first ,%~%0.0
go to a%~%-1.3862943611198906
on lukaku .%~%0.0
pretty bad club%~%0.0
moment when your%~%0.0
year to every%~%-1.0986122886681098
or just save%~%-0.6931471805599453
don't have any%~%-1.6094379124341003
! let's do%~%0.0
, well tell%~%-0.6931471805599453
i think any%~%-2.5649493574615367
{ { pretty%~%-6.86171134048073
you came home%~%0.0
great deal where%~%0.0
but just a%~%0.0
and will food%~%-0.6931471805599453
you see these%~%-1.0986122886681098
extra 5 }%~%0.0
{ i got%~%-4.859812404361672
goal was killer%~%0.0
update } }%~%0.0
knows all about%~%0.0
https://media1 . giphy%~%0.0
ever leave }%~%0.0
{ you're so%~%-1.3862943611198906
in 2015 i%~%0.0
{ what are%~%-2.1972245773362196
🛫 } }%~%0.0
now and forever%~%-0.6931471805599453
while driving ?%~%0.0
, it sounded%~%-1.3862943611198906
can also let%~%-0.6931471805599453
{ yeah my%~%-2.772588722239781
doing for the%~%0.0
{ happy b-day%~%0.0
it's sunny and%~%0.0
{ i did%~%-4.859812404361672
at this point%~%-0.6931471805599453
